City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-01-11 20:04:35,-54.8,-68.3,44.6,70,75,9.22
1,Barrow,US,2021-01-11 20:06:37,71.2906,-156.7887,1.4,71,90,23.02
2,Adrar,MR,2021-01-11 20:06:37,20.5022,-10.0711,60.66,32,100,11.32
3,Hofn,IS,2021-01-11 20:06:37,64.2539,-15.2082,24.8,58,0,4.61
4,Airai,TL,2021-01-11 20:06:37,-8.9266,125.4092,61.68,100,38,0.83
5,Punta Arenas,CL,2021-01-11 20:06:37,-53.15,-70.9167,50.0,62,75,26.46
6,Yellowknife,CA,2021-01-11 20:06:37,62.456,-114.3525,12.99,92,40,8.05
7,Japura,ID,2021-01-11 20:06:38,-0.3167,102.35,72.93,98,100,2.82
8,Ponta Do Sol,PT,2021-01-11 20:06:38,32.6667,-17.1,55.0,63,21,3.0
9,Atar,MR,2021-01-11 20:06:38,20.5169,-13.0499,62.51,37,100,11.5
10,Port-Gentil,GA,2021-01-11 20:06:38,-0.7193,8.7815,80.6,83,20,8.05
11,Hithadhoo,MV,2021-01-11 20:06:38,-0.6,73.0833,80.87,78,58,16.64
12,Rikitea,PF,2021-01-11 20:06:38,-23.1203,-134.9692,77.7,78,100,20.02
13,Mataura,NZ,2021-01-11 20:06:38,-46.1927,168.8643,52.0,84,1,1.01
14,Evensk,RU,2021-01-11 20:06:38,61.95,159.2333,6.24,86,100,11.65
15,Thompson,CA,2021-01-11 20:06:38,55.7435,-97.8558,21.2,93,75,6.91
16,Alice Springs,AU,2021-01-11 20:06:38,-23.7,133.8833,77.0,56,0,5.75
17,Jamestown,US,2021-01-11 20:06:38,42.097,-79.2353,36.0,69,90,9.22
18,Klaksvik,FO,2021-01-11 20:06:38,62.2266,-6.589,37.4,70,75,24.16
19,Albany,US,2021-01-11 20:03:26,42.6001,-73.9662,32.0,68,100,1.97
20,Vardo,NO,2021-01-11 20:06:38,70.3705,31.1107,17.6,86,75,20.71
21,Vaini,TO,2021-01-11 20:06:38,-21.2,-175.2,80.6,89,75,9.22
22,Butaritari,KI,2021-01-11 20:06:39,3.0707,172.7902,80.82,82,44,20.85
23,Ambilobe,MG,2021-01-11 20:06:39,-13.2,49.05,75.16,92,21,2.13
24,Narrabri,AU,2021-01-11 20:06:39,-30.3167,149.7833,62.6,77,0,3.44
25,Marsabit,KE,2021-01-11 20:06:39,2.3284,37.9899,69.62,56,0,8.25
26,Tabas,IR,2021-01-11 20:06:39,33.5959,56.9244,35.6,23,0,6.91
27,Gunjur,GM,2021-01-11 20:06:39,13.2019,-16.7339,73.4,56,40,5.75
28,Chokurdakh,RU,2021-01-11 20:06:39,70.6333,147.9167,-32.96,82,66,2.24
29,Hermanus,ZA,2021-01-11 20:05:04,-34.4187,19.2345,70.0,81,100,8.01
30,Roald,NO,2021-01-11 20:06:39,62.5833,6.1333,28.4,93,75,8.05
31,Bull Savanna,JM,2021-01-11 20:06:39,17.8868,-77.5902,80.13,74,100,12.71
32,Provideniya,RU,2021-01-11 20:06:39,64.3833,-173.3,-0.4,71,75,17.9
33,Bhag,PK,2021-01-11 20:06:39,29.0415,67.8239,56.21,29,0,2.86
34,Riosucio,CO,2021-01-11 20:06:39,5.4216,-75.7032,77.0,61,40,5.75
