City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Iquitos,PE,75.2,moderate rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
3,Atuona,PF,77.43,few clouds,-9.8,-139.0333,Villa Enata
5,Tutoia,BR,79.99,overcast clouds,-2.7619,-42.2744,Pousada Guará's
6,Vao,NC,76.86,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
12,Lorengau,PG,85.28,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
22,Vaini,TO,84.2,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Rikitea,PF,78.35,broken clouds,-23.1203,-134.9692,Pension Maro'i
24,Alice Springs,AU,87.8,clear sky,-23.7,133.8833,Desert Palms Alice Springs
25,Butaritari,KI,81.36,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
31,Ugoofaaru,MV,81.01,broken clouds,5.6667,73.0,Ungoofaaru Inn
33,Richards Bay,ZA,75.4,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
36,Alugan,PH,80.46,broken clouds,12.2188,125.4808,JM Lodge
39,Padang,ID,76.98,broken clouds,-0.9492,100.3543,Mercure Padang
41,Poum,NC,79.52,light rain,-20.2333,164.0167,Gîte kajeon
42,Sao Joao Da Barra,BR,76.15,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
43,Banda Aceh,ID,77.11,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
46,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
50,Gondanglegi,ID,77.83,overcast clouds,-7.7479,112.0132,Gg. Munasir Homestay
51,Puerto Ayora,EC,75.99,broken clouds,-0.7393,-90.3518,Castillo Galapagos
58,Hobyo,SO,75.78,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
59,Kerema,PG,84.34,moderate rain,-7.9631,145.7785,Frena Lodge
60,Buluang,PH,78.12,broken clouds,13.3068,123.3425,Enon Beach Resort
64,Jatiroto,ID,76.01,moderate rain,-7.8833,111.1167,Mushola Al Huda
68,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
72,Alamos,MX,79.0,clear sky,27.0167,-108.9333,Luz del Sol
82,San Pedro De Macoris,DO,79.0,broken clouds,18.4616,-69.2972,Apartahotel Guaraguao
83,Manokwari,ID,82.31,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
86,Comodoro Rivadavia,AR,77.0,clear sky,-45.8667,-67.5,Austral Hotel
90,Sao Sepe,BR,75.2,clear sky,-30.1606,-53.5653,Trevo Parque Hotel
94,East London,ZA,75.25,light rain,-33.0153,27.9116,Tu Casa
101,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
109,Kapaa,US,79.0,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
111,Flinders,AU,78.01,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
116,Vanimo,PG,79.7,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
117,Marawi,PH,78.01,broken clouds,7.9986,124.2928,Derogongan Residence
119,Kavaratti,IN,82.4,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
121,Natal,BR,80.6,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
127,Avarua,CK,86.0,broken clouds,-21.2078,-159.775,Paradise Inn
133,Moron,AR,75.99,clear sky,-34.6534,-58.6198,Hotel Morón
134,Vila Velha,BR,78.8,light rain,-20.3297,-40.2925,Hotel Vitória Palace
135,San Patricio,US,77.0,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
136,Bengkulu,ID,76.78,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
138,Kalmunai,LK,77.36,moderate rain,7.4167,81.8167,VS Villa
145,Jacareacanga,BR,75.15,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
146,Muisne,EC,77.02,overcast clouds,0.6,-80.0333,Quinta Samay
150,Hithadhoo,MV,81.55,moderate rain,-0.6,73.0833,Scoop Guest House
151,Cabo San Lucas,MX,75.2,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
155,Tautira,PF,87.8,broken clouds,-17.7333,-149.15,Pension Oaoa
159,Ciudad Bolivar,VE,79.56,broken clouds,8.1222,-63.5497,Hotel Edi
160,Nelson Bay,AU,75.99,broken clouds,-32.7167,152.15,Mantra Nelson Bay
163,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
166,Boyolangu,ID,78.19,overcast clouds,-8.1181,111.8935,Yos ega cv
167,Hilo,US,84.2,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
169,Bambous Virieux,MU,77.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
170,Hambantota,LK,76.6,overcast clouds,6.1241,81.1185,Bungalow 63
174,Arraial Do Cabo,BR,77.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
175,Manaure,CO,80.6,broken clouds,11.7751,-72.4445,Hotel Palaaima
176,Porto Velho,BR,77.0,light rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
185,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Pirineos
200,Meulaboh,ID,75.61,overcast clouds,4.1363,96.1285,Kost Pria
203,Mongagua,BR,81.0,broken clouds,-24.0931,-46.6208,Hostel Aloha Brasil
207,Caravelas,BR,76.78,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
209,Kavieng,PG,84.36,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
211,Muncar,ID,79.75,moderate rain,-8.4333,114.3333,Zaky Homestay
