City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Khatanga,71.9667,102.5,-50.55,76,50,1.52,RU,2021-01-14 23:46:55,scattered clouds
1,Jablanica,43.6603,17.7617,37.4,44,20,14.97,BA,2021-01-14 23:46:55,few clouds
2,Iquitos,-3.7481,-73.2472,75.2,94,90,8.05,PE,2021-01-14 23:46:55,moderate rain
3,Atuona,-9.8,-139.0333,77.43,77,18,13.18,PF,2021-01-14 23:46:55,few clouds
4,Kunda,25.7167,81.5167,45.05,62,8,2.89,IN,2021-01-14 23:46:55,clear sky
5,Tutoia,-2.7619,-42.2744,79.99,80,93,14.34,BR,2021-01-14 23:46:56,overcast clouds
6,Vao,-22.6667,167.4833,76.86,92,100,11.14,NC,2021-01-14 23:46:56,overcast clouds
7,Barrow,71.2906,-156.7887,-11.2,77,1,13.8,US,2021-01-14 23:45:04,clear sky
8,Usinsk,65.9939,57.5281,-16.15,86,100,5.57,RU,2021-01-14 23:46:56,overcast clouds
9,Punta Arenas,-53.15,-70.9167,55.4,71,0,12.66,CL,2021-01-14 23:43:30,clear sky
10,Ca Mau,9.1769,105.15,70.54,87,80,3.85,VN,2021-01-14 23:46:56,broken clouds
11,Norman Wells,65.282,-126.8329,-0.4,85,40,4.61,CA,2021-01-14 23:46:56,scattered clouds
12,Lorengau,-2.0226,147.2712,85.28,67,100,9.75,PG,2021-01-14 23:46:56,overcast clouds
13,Mataura,-46.1927,168.8643,73.0,64,37,3.0,NZ,2021-01-14 23:46:56,scattered clouds
14,Albany,42.6001,-73.9662,36.0,72,100,0.49,US,2021-01-14 23:46:35,overcast clouds
15,Ushuaia,-54.8,-68.3,53.6,58,20,10.36,AR,2021-01-14 23:45:28,few clouds
16,Novoorsk,51.381,58.9813,12.2,79,90,20.13,RU,2021-01-14 23:46:56,snow
17,Lavrentiya,65.5833,-171.0,5.0,92,97,6.13,RU,2021-01-14 23:46:56,overcast clouds
18,Urengoy,65.9667,78.3667,-3.15,92,100,3.51,RU,2021-01-14 23:46:56,overcast clouds
19,Gucheng,35.9115,111.3192,34.21,68,93,1.77,CN,2021-01-14 23:46:57,overcast clouds
20,Phan Thiet,10.9333,108.1,69.3,83,21,5.84,VN,2021-01-14 23:46:57,few clouds
21,Yellowknife,62.456,-114.3525,6.8,85,75,5.75,CA,2021-01-14 23:42:13,broken clouds
22,Vaini,-21.2,-175.2,84.2,84,20,10.36,TO,2021-01-14 23:46:57,few clouds
23,Rikitea,-23.1203,-134.9692,78.35,74,70,11.61,PF,2021-01-14 23:46:57,broken clouds
24,Alice Springs,-23.7,133.8833,87.8,25,0,17.27,AU,2021-01-14 23:42:15,clear sky
25,Butaritari,3.0707,172.7902,81.36,76,47,20.49,KI,2021-01-14 23:46:57,scattered clouds
26,Ukiah,39.1502,-123.2078,68.0,45,1,4.68,US,2021-01-14 23:46:57,clear sky
27,Jijiga,9.35,42.8,57.76,55,7,2.98,ET,2021-01-14 23:44:17,clear sky
28,Ormara,25.2088,64.6357,66.38,47,0,4.5,PK,2021-01-14 23:46:57,clear sky
29,Rognan,67.0953,15.3878,28.99,91,100,3.4,NO,2021-01-14 23:46:57,overcast clouds
30,Bluff,-46.6,168.3333,73.0,64,15,3.0,NZ,2021-01-14 23:46:57,few clouds
31,Ugoofaaru,5.6667,73.0,81.01,78,58,7.25,MV,2021-01-14 23:46:57,broken clouds
